category,company,date,link,press,title
포트폴리오,슈파인세라퓨틱스,2019-11-16,http://www.biospectator.com/view/news_view.php?varAtcId=8883,바이오스펙테이터,슈파인세라퓨틱스  20억 유치   척수손상 치료제 개발 
포트폴리오,엑세스랩,2019-11-12,http://www.datanet.co.kr/news/articleView.html?idxno=139073,데이터넷, 세계 최고 ARM 기술력으로 글로벌 시장 선도  자신  
포트폴리오,퓨처메인,2019-11-16,http://news1.kr/articles/?3769783,뉴스1,스마트공장 베스트 프랙티스 콘퍼런스 11월21일 개막
포트폴리오,퓨처메인,2019-11-16,http://www.hellot.net/new_hellot/magazine/magazine_read.html?code=201&sub=003&idx=48654,헬로티,“우리 회사 스마트공장 구축  이렇게   아마존-MS-오라클 등이 전하는 구축 노하우는?”
LP기업,대양전기공업,2019-11-16,http://hobbyissue.co.kr/news/view/119110,하빗슈, 조선업종개괄  조선 업 종 리드 종목  중앙오션 505원 +28 53% 상승 에이치엘비 6 900원 +5 03% 상승 상상인인더스트리 25원 +1 51% 상승
LP기업,대양전기공업,2019-11-16,http://www.newspim.com/news/view/20191115000319,뉴스핌,대양전기공업 실적발표  영업이익 57억원    전분기 대비 68 2% 증가  연결 확정 
LP기업,대양전기공업,2019-11-15,https://biz.chosun.com/site/data/html_dir/2019/11/13/2019111300907.html?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,특수건설  +10 00% VI 발동
LP기업,대양전기공업,2019-11-15,https://biz.chosun.com/site/data/html_dir/2019/11/13/2019111300657.html?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,제룡전기  +11 50% 상승폭 확대
LP기업,대양전기공업,2019-11-13,http://hobbyissue.co.kr/news/view/115839,하빗슈, 조선업종살펴보기  조선 업 종 리드 종목  에이치엘비 1 900원 +1 36% 상승 대양전기공업 150원 +1 15% 상승 한국조선해양 1 000원 +0 85% 상승
LP기업,세운철강,2019-11-12,http://www.busan.com/view/busan/view.php?code=2019111118450836142,부산일보,제8회 협성독서왕 독후감 공모 시상식 개최
LP기업,오토닉스,2019-11-16,http://www.hellot.net/new_hellot/magazine/magazine_read.html?code=201&sub=004&idx=48754,헬로티,오토닉스  산업용 PC 첫 출시
LP기업,유니테크노,2019-11-16,https://www.sedaily.com/NewsView/1VQT3ME93F,서울경제,운송장비 부품업 +2 00%↑ 이 강세인 가운데  코스닥도 상승 흐름 +0 37%↑ 
LP기업,유니테크노,2019-11-14,http://www.gokorea.kr/news/articleView.html?idxno=563827,공감신문,11월 11일 유니테크노 종목 그래프 -0 50% 변동해  
LP기업,조광페인트,2019-11-16,http://www.newspim.com/news/view/20191114001529,뉴스핌,조광페인트 실적발표  매출액 490억원 전분기 대비 -9 1% 감소    영업이익 전분기 대비 적자전환  연결 확정 
LP기업,조광페인트,2019-11-15,http://www.fnnews.com/news/201911141038198496,파이낸셜뉴스, fnRASSI 조광페인트  0 82% 내리며 거래량 증가
LP기업,조광페인트,2019-11-15,http://moneys.mt.co.kr/news/mwView.php?no=2019110608518076375,머니S,매트리스  웃고  빌트인  울고 … 건설경기가 부른  지각변동 
LP기업,코메론,2019-11-16,http://www.newspim.com/news/view/20191114001774,뉴스핌,코메론 영업이익 45억원 전분기 대비 31 3% 증가    영업이익률 3분기째 상승  연결 확정 
LP기업,한국선재,2019-11-16,http://hobbyissue.co.kr/news/view/118582,하빗슈, 철강업종브리핑  철강 업 종 리드 종목  부국철강 145원 +3 00% 상승 대동스틸 140원 +2 16% 상승 동부제철 100원 +1 27% 상승
LP기업,한국선재,2019-11-16,http://hobbyissue.co.kr/news/view/118495,하빗슈, 업종 이슈  철강업 주요종목 14일 종가 한국특수형강 385원 +28 84% 상승 부국철강 270원 +5 90% 상승 동일철강 120원 +2 72% 상승
